source,rating
homicide,89.37254901960785
honey,-70.77241379310345
hood,-35.02614379084967
hornet,35.76973684210526
hose,-51.36423841059602
hospital,-13.623287671232877
hotel,-45.32666666666667
hovercraft,-3.4864864864864864
hummingbird,-74.81879194630872
hunger,35.70860927152318
ipad,-61.85034013605442
ipod,-62.88815789473684
icy,35.81879194630873
immunity,-66.73333333333333
imperialism,33.28476821192053
industry,0.44
infection,62.70779220779221
inflation,40.666666666666664
influenza,45.346666666666664
injection,2.590909090909091
injury,56.651315789473685
insanity,62.873333333333335
insect,-7.633333333333334
insomnia,23.913333333333334
insulin,-23.392156862745097
insurance,-39.810810810810814
intoxication,57.24342105263158
iron,-11.673469387755102
ironing,-24.71523178807947
jackhammer,28.095890410958905
jail,66.43448275862069
javelin,22.50657894736842
jealousy,33.69281045751634
jeep,-16.574324324324323
jellyfish,34.48051948051948
journalism,0.738255033557047
jumping,-19.4635761589404
jungle,39.54304635761589
karate,2.2697368421052633
kerosene,39.66
kettle,-18.614864864864863
kidney,-37.21854304635762
kitchen,-24.9527027027027
kite,-50.696774193548386
ladder,11.035211267605634
lager,-0.5231788079470199
lamp,-51.36423841059602
lantern,-27.973856209150327
laptop,-54.66891891891892
latte,-60.41447368421053
laughing,-80.97333333333333
lava,78.56666666666666
lawnmower,-4.429530201342282
laxative,-7.0137931034482754
learning,-77.79333333333334
leech,15.344827586206897
leisure,-63.189189189189186
leukemia,84.70344827586207
liberty,-46.71232876712329
lice,24.489655172413794
lift,-15.741721854304636
lightening,40.182432432432435
lightheaded,20.642857142857142
mace,36.33552631578947
machete,60.8421052631579
machinery,29.302013422818792
madness,55.919463087248324
mafia,79.33333333333333
magma,62.265306122448976
malaria,78.70860927152317
mall,-41.006711409395976
mania,42.608108108108105
marathon,-13.18421052631579
margarine,-47.89261744966443
massage,-70.01342281879195
measles,50.20779220779221
meatloaf,-57.64238410596027
medic,-60.6258064516129
medication,-10.817567567567568
medicinal,-29.20805369127517
men,-2.5827814569536423
menthol,-13.813333333333333
meteorite,35.848684210526315
meth,82.97333333333333
migraine,20.843537414965986
milk,-58.5958904109589
mill,-20.539473684210527
mines,69.26490066225166
mining,48.92763157894737
misery,35.45578231292517
mob,59.26896551724138
mobster,69.09395973154362
molten,51.437086092715234
monkey,4.348684210526316
monopoly,-32.53691275167785
mortgage,5.382550335570469
motel,-24.28767123287671
moth,-53.328947368421055
motorbike,44.157534246575345
motorway,27.116883116883116
mud,-18.57046979865772
mumps,46.43046357615894
mustang,-8.13103448275862
nap,-73.66216216216216
narcotics,68.6241610738255
nausea,13.743243243243244
needle,19.361290322580643
net,-23.533333333333335
nicotine,66.06711409395973
nightclub,4.596026490066225
nightmare,-3.401315789473684
ninja,33.54421768707483
nudity,-12.677852348993289
nuke,88.83443708609272
nutrition,-66.27450980392157
nylon,-47.593333333333334
oasis,-44.728476821192054
obsession,40.397350993377486
ocean,30.92156862745098
onion,-71.63157894736842
opium,64.66013071895425
oppression,60.34013605442177
orange,-70.68707482993197
outdoors,-20.18421052631579
overdose,89.58108108108108
oxygen,-64.75510204081633
ozone,3.5244755244755246
painkiller,-1.5827814569536425
paint,-34.86754966887417
pancake,-77.50967741935484
panic,40.306666666666665
parachute,22.3
paranoia,46.6953642384106
parasite,56.61842105263158
park,-45.56578947368421
parking,-27.693877551020407
pathology,-17.60810810810811
